date,ad_unit,adx_impressions,adx_revenue,avg_adx_cpm
2024/1/31,a_janestyle.and_320x50_footer_16820_A,46,0,7
2024/1/31,a_janestyle.and_320x50_footer_16820_F,4,0,20
2024/1/31,a_jankenshogi.and_300x250_middle_23590,110,9,83
2024/1/31,a_jankenshogi.and_320x50_footer_23590,68,1,19
2024/1/31,a_jigtwi.and_320x50_footer_16621,10,0,46
2024/1/31,a_jiken.and_300x250_middle_23594,52,1,19
2024/1/31,a_jiken.and_320x50_footer_23594,77,1,13
2024/1/31,a_jomonjin.and_300x250_middle_23595,25,12,476
2024/1/31,a_jomonjin.and_320x50_footer_23595,40,2,59
2024/1/31,a_jp.co.nowpro.voctest.free_320x50_footer_14404,17,0,6
2024/1/31,a_kamihaeru.and_300x250_middle_23572,30,6,199
2024/1/31,a_kamihaeru.and_320x50_footer_23572,30,2,56
2024/1/31,a_kachofugetsu.ios_1024x768_Interstitial_20680,1,0,215
2024/1/31,a_kachofugetsu.ios_320x50_footer_20680,6,0,8
2024/1/31,a_kachofugetsu.ios_320x50_header_20680,8,0,5
2024/1/31,a_kachofugetsu.ios_336x280_middle1st_20680,2,0,35
2024/1/31,a_kakeibolite.and_320x50_footer_19012,2069,162,78
2024/1/31,a_kindergarden.ios_320x50_header_18267,105,5,43
2024/1/31,a_konapazu.ios_1024x768_rewarded-video_24321,38,31,807
2024/1/31,a_kotsukakeibo.ios_320x50_footer_15678,13990,393,28
2024/1/31,a_kotsukakeibo.ios_728x90_footer_15678_iPad,2223,56,25
2024/1/31,a_kusahaeru.and_300x250_middle_23593,2,0,78
2024/1/31,a_kusahaeru.and_320x50_footer_23593,19,2,84
2024/1/31,a_line2ch.ios_336x280_middle_20531,1538,131,85
2024/1/31,a_magic.ios_320x50_footer_19870,18,0,11
2024/1/31,a_magic.ios_320x50_header_19870,9,0,12
2024/1/31,a_magic.ios_336x280_middle1st_19870,2,0,107
2024/1/31,a_memonote.ios_320x50_footer_15680,66752,1727,26
2024/1/31,a_memonote.ios_728x90_footer_15680_ipad,1257,44,35
2024/1/31,a_memori.and_320x50_footer_17784,161,28,172
2024/1/31,a_memori.and_336x280_footer_17784,380,42,109
2024/1/31,a_monyariza.and_300x250_middle_23591,4,3,644
2024/1/31,a_monyariza.and_320x50_footer_23591,4,0,85
2024/1/31,a_monstbbs.ios_320x50_footer_20670,2,0,32
2024/1/31,a_mogutan.ios_320x50_footer1st_16128,310,12,37
2024/1/31,a_mogutan.ios_320x50_footer9th_16128,86,8,90
2024/1/31,a_mukidoku.and_320x50_footer_19855_2,351,9,25
2024/1/31,a_nanamusic.ios_320x50_soundbanner_21796,1,0,7
2024/1/31,a_nakayubi.ios_320x50_header_19393,253,6,22
2024/1/31,a_pointblur.and_320x50_footer_25513,2,0,2
2024/1/31,a_powl.ios_1024x768_rewarded-video_22828,3,0,17
2024/1/31,a_powl.ios_336x280_rectangle1_22828,20,0,16
2024/1/31,a_rakuraku.and_300x250_middle1sttop_16924_HOMERICH,4,0,96
2024/1/31,a_rakuraku.and_300x250_middle2ndtop_16924_GROUPRICH,12,1,72
2024/1/31,a_rakuraku.and_300x250_middle3rd_16924_GROUPLIGHT,3,0,56
2024/1/31,a_rakuraku.and_336x280_answerregistration_16924,1,0,212
2024/1/31,a_rakuraku.and_336x280_answerresult_16924,18,0,18
2024/1/31,a_renaisoudan.and_300x250_middle_23599,10,0,30
2024/1/31,a_renaisoudan.and_320x50_footer_23599,11,0,20
2024/1/31,a_saitenmemo.ios_728x90_footer_15682_ipad,45,3,77
2024/1/31,a_saitenmemo.ios_320x50_footer_15682,355,5,15
2024/1/31,a_sakura.ios_336x280_middle_21784,2,0,96
2024/1/31,a_seahouse.ios_320x50_header_18268,157,3,20
2024/1/31,a_shoppies.ios_320x50_mymenu_18306,532,6,12
2024/1/31,a_shoppies.ios_320x50_noticepage_18306,2627,38,14
