date,ad_unit,adx_impressions,adx_revenue,avg_adx_cpm
2024/1/31,*******************************************,41,0,10
2024/1/31,**********************************************,335,10,28
2024/1/31,**********************overlay*****,583,16,28
2024/1/31,*******************************************,167,3,20
2024/1/31,************************************,275,14,51
2024/1/31,******************************************,326,77,235
2024/1/31,*******************************************************,348,14,40
2024/1/31,*****************************************************************,400,13,32
2024/1/31,*****************************************************************,374,9,25
2024/1/31,*****************************************************************,338,8,24
2024/1/31,*****************************************************************,53,1,21
2024/1/31,*****************************************************************,51,1,20
2024/1/31,********************************************************,674,26,39
2024/1/31,********************************************************,406,12,30
2024/1/31,************************************************,10,0,17
2024/1/31,************************overlay******,1501,69,46
2024/1/31,****************************************************,498,19,38
2024/1/31,****************************************************,61,1,23
2024/1/31,*********************************************************,46,1,21
2024/1/31,********************************************************,294,23,78
2024/1/31,************************************************,20,1,74
2024/1/31,*************************overlay******,3566,279,78
2024/1/31,******************************************************************,250,11,43
2024/1/31,******************************************************************,105,3,27
2024/1/31,******************************************************************,385,19,51
2024/1/31,******************************************************************,269,11,40
2024/1/31,******************************************************************,140,5,39
2024/1/31,******************************************************************,110,4,39
2024/1/31,*********************************************************,643,34,52
2024/1/31,*************************************************,44,1,15
2024/1/31,*************************************************,10,0,14
2024/1/31,*****************************************************,2503,111,44
2024/1/31,**********************************************************,165,30,181
2024/1/31,*****************************************************,118,10,83
2024/1/31,*********************************************************,3103,182,59
2024/1/31,*************************************************,60,3,44
2024/1/31,****************************************,3261,9,3
2024/1/31,************************************,3859,10,3
2024/1/31,*********************************,3184,9,3
2024/1/31,************************************,1049,1002,955
2024/1/31,********************************************,32091,1156,36
2024/1/31,**************************************,10445,590,57
2024/1/31,************************************,11428,485,42
2024/1/31,***************************************,156,6,36
2024/1/31,***************************************,103,4,34
2024/1/31,***************************************,91,3,33
2024/1/31,***************************************,9693,391,40
2024/1/31,*************************************************,4119,303,74
2024/1/31,************************overlay******,11101,389,35
2024/1/31,**********************************************,890,424,477
2024/1/31,****************************************,37,20,538
2024/1/31,***********************************,76,35,465
2024/1/31,*****************************************,3417,266,78
2024/1/31,*************************************,2852,102,36
2024/1/31,**********************************************,48,16,339
2024/1/31,***********************************************************,2826,110,39
2024/1/31,*******************************************************,989,18,18
2024/1/31,***********************************************,2109,112,53
2024/1/31,****************************************************,47,1,19
2024/1/31,*************************************************,204,4,17
2024/1/31,*************************************************,169,3,20
2024/1/31,*******************************************************,293,6,20
2024/1/31,*******************************************************,339,8,23
2024/1/31,***************************************************,2778,162,58
2024/1/31,***************************************************,3086,203,66
2024/1/31,*************************************************,3046,233,76
2024/1/31,************************************************,49,1,24
2024/1/31,***********************************************,749,14,19
2024/1/31,***********************************overlay******,3802,281,74
2024/1/31,***********************************,8111,36,4
2024/1/31,*****************************************,7728,32,4
2024/1/31,***************************************,8868,39,4
2024/1/31,**********************************,709,3,4
2024/1/31,*****************************************,553,2,4
2024/1/31,*****************************************,376,2,4
2024/1/31,***************************************,476,2590,5442
2024/1/31,*********************************************,62026,13217,213
2024/1/31,*********************************************,114,94,823
2024/1/31,********************************************************,1533,18,12
2024/1/31,**************************************,3,0,135
2024/1/31,******************************,932,1722,1847
2024/1/31,**********************************************,1310,22,17
2024/1/31,**********************************************,72270,123246,1705
2024/1/31,****************************************************,273,53,193
2024/1/31,**************************************************,2302,2113,918
2024/1/31,*******************************,615,451,733
2024/1/31,*********************************************,10353,1261,122
2024/1/31,***************************************,1,0,184
2024/1/31,*****************************************,5162,669,130
2024/1/31,***********************************************,128,17,130
2024/1/31,**************************************************,227,22,98
2024/1/31,**************************************************,7023,350,50
2024/1/31,*************************************,9591,966,101
2024/1/31,***************************************,2930,262,89
2024/1/31,********************************,414,31,76
2024/1/31,******************************************,279,22,79
2024/1/31,************************************,16954,1183,70
2024/1/31,****************************************,91150,1766,19
2024/1/31,**********************************,115465,11062,96
2024/1/31,**********************************,25843,2575,100
2024/1/31,**********************************,3832,514,134
2024/1/31,**********************************************,85631,17789,208
2024/1/31,**********************************************,64538,9360,145
2024/1/31,***********************************,153481,19820,129
2024/1/31,***********************************,162353,15067,93
2024/1/31,************************************,142703,13365,94
2024/1/31,****************************************,23989,929,39
2024/1/31,********************************,128988,15333,119
2024/1/31,*************overlay*********overlay******,124243,23393,188
2024/1/31,*************overlay****************overlay******,51636,10246,198
2024/1/31,*******************************************,7826,39,5
2024/1/31,*******************************************,19328,709,37
2024/1/31,*******************************************,7321,53,7
2024/1/31,*******************************************,12646,299,24
2024/1/31,*******************************************,2168,29,13
2024/1/31,*******************************************,5841,154,26
2024/1/31,*******************************************,3366,25,7
2024/1/31,*******************************************,5355,97,18
2024/1/31,*******************************************,11467,125,11
2024/1/31,*********************************************,7627,57,7
2024/1/31,************************************************,807,8,10
2024/1/31,************************************************,1475,105,71
2024/1/31,*************************************************,18479,409,22
2024/1/31,**********************************************,925,8,9
2024/1/31,**********************************************,874,8,9
2024/1/31,************************************************,5413,70,13
2024/1/31,************************overlay******************,19839,641,32
2024/1/31,*********************************,305,6,21
2024/1/31,*********************************,142,2,13
2024/1/31,****************************************,248,3,12
2024/1/31,**************************************,1658,47,28
2024/1/31,**************************************,1706,51,30
2024/1/31,**************************************,1819,41,22
2024/1/31,**************************************,1826,39,21
2024/1/31,**************************************,1697,34,20
2024/1/31,**********************************,623,12,19
2024/1/31,***************************************,501,12,23
2024/1/31,***********************************,343,7,19
2024/1/31,***********************************,125,3,24
2024/1/31,**************overlay********************,109,4,33
2024/1/31,**************overlay******,739,16,22
2024/1/31,***************overlay******,1173,72,62
2024/1/31,**************************************,1,0,13
2024/1/31,*****************overlay**********,43839,1994,45
2024/1/31,****************overlay*********,57,1,15
2024/1/31,****************overlay******,13691,182,13
2024/1/31,*********************************************,2396,71,30
2024/1/31,************************************************,28856,419,15
2024/1/31,**************************************,1887,94,50
2024/1/31,**************************************,230,15,64
2024/1/31,**********************overlay******,4728,268,57
2024/1/31,*******************************,1634,29,18
2024/1/31,************************overlay******,11362,515,45
2024/1/31,********************************************,1,0,5
2024/1/31,***********************************,91,1,16
2024/1/31,***********************************,68,1,10
2024/1/31,***********************************,128,8,61
2024/1/31,***********************************,140,6,42
2024/1/31,***********************************,105,2,22
2024/1/31,*****************overlay******,127,9,69
2024/1/31,*********************************************,583,416,714
2024/1/31,*************************************,801,181,226
2024/1/31,*************************************,411,23,55
2024/1/31,*************************************,36,1,34
2024/1/31,*************************************,29,2,83
2024/1/31,************************************,179,13,71
2024/1/31,************************************,90,7,75
2024/1/31,***********************************,1290,31,24
2024/1/31,**********************************************,196,20,103
2024/1/31,*******************************************,184,52,280
2024/1/31,******************************************,28504,4070,143
2024/1/31,*****************************************,26366,3043,115
